Subject Name
Francis Parker Guridasan campus
Broadwic English Academy-Mokpo Branch
Piaget Kids Academy Gangdong-gu Seoul
SIE.K
PLATO
Francis Parker Bundang
Sharing My Experience at Knox Pyeongchon
Inje English Village
"Knox School, Pyeongchon"
"WYATT Institute, Bundang"
"POLY - Glovia English Academy   Songpa, Seoul"
POLY - Dongdaemun campus
ECC Dongjak Seoul
SINGAPORE INTERNATIONAL SCHOOL
Chungdahm Clueville
"Jin Academy, in Oksu-dong"
MASAN POLY
Francis Parker Godoek
RISE Bundang
"Plato English Academy, Seodaemun-gu, Seoul"
"Walnut Global Education, Mokdong, Seoul"
Reply: Walnut Global Education in the Greenlist
Dux- Ulsan- Ok-dong
Maple Language Institute
"Coram Deo Academy (Misa / Hanam, Seoul)"
American STEM Prep
Maven Language Center - City Hall
Chungdahm Pyeongchon
Cliff Academy - Siheung
MPOLY Mokdong
Vivian & Stanley Gangnam International Scholars
Pinewood English School
BEK Bundang-gu
Ilsan Francis Parker
Daejeon Worwick Franklin
Polar Bear English School (Daegu)
Francis Parker Mapo
I Love Clover English (ILCE) Based in Dunsan-dong in Daejoen.
GLITT Yeongtong branch
"JM English in Songpa-gu, Seoul."
Jin English Language Institute in Seongdong-gu
"JM English (Songpa, Seoul)"
"Altiora Godeok, Seoul"
EIE Yongin
Plato school in seodaemun-gu
JLS Dongtan
PEAI
"Astra Academy (Ulsan, South Korea)"
DYB Cheonan
Saint Paul American Scholars Yongin (Gwanggyo)
"IYA SKOOlA, Wirye, Songpa (seoul)"
POLY Hanam Misa
Altiora (Tongyeong Campus)
Daechi DUX branch
St. Paul American Scholars Dongtan
"Dux School of English Reading Club, Daichi branch"
I.L.C.E.
RISE Talented
"SLP Ansan, Lyceum Department"
"VIS Academy - Yeouido, Seoul"
JM ENGLISH ACADEMY
Redwood Academy in Suji-Gu
"Coram Deo English Education - Gangdong Gu, Seoul"
VIS/Little Socie School in Yeouido
"Iya Skola / Hillside Collegiate, Ulsan Branch"
Stephanie's English Montessori in Pohang
FTK Bucheon in Sangdong
FTK Bucheon
Cubs School: Yulha  Gimhae Gyeongsangnam-do
Rise Pyeongchon
Iya Skola Wirye
Ansan SLP
Wizville Seodaemun
"Pots & Pans in Seocho, Seoul"
FTK West Pangyo
Junggye Poly
"Jackie's English School in Gumi-si, South Korea"
DUX Academies
MilkEnglish
"English Learning Bay, Sinwol Campus"
Hillside Collegiate Wirye
"ILS Junior Hagwon/Academy, Bongdam, Hwaseong"
GLITT (Children s Musical Company) Dongtan
Dux Reading Club School of English
DUX (Nowon branch)
YBM ECC Dongtan 2
Hillside Collegiate in Songdo
GLITT(Childrens Musical company) Yeongtong branch
EDISEN Academy
Hanam Wizisland in Hanam
IN2 English Academy at Dongtan
Avalon Langcon's Asan campus
Cheongshim Kindergarten in Bucheon
Second Language Acquisition or SLA
